"long","lat","DMA","mag"
-84.5555347,42.732535,"LANSING",546161.399581909
-84.5120196,39.1031182,"CINCINNATI",620477.496994019
-84.5037164,38.0405837,"LEXINGTON",679305.58605957
-84.3879824,33.7489954,"ATLANTA",676646.474731445
-84.2288149,30.5450576,"TALLAHASSEE-THOMASVILLE",718489.982177734
-84.1916069,39.7589478,"DAYTON",597386.555297852
-84.155741,31.5785074,"ALBANY, GA",516052.117259026
-83.9207392,35.9606384,"KNOXVILLE",665910.067138672
-83.6900387,43.0154214,"FLINT-SAGINAW-BAY CITY",565283.156593323
-83.6324022,32.8406946,"MACON",657889.318847656
-83.6300826,41.3797788,"BOWLING GREEN",607152.070236206
-83.555212,41.6639383,"TOLEDO",565124.164474487
-83.4327528,45.0616794,"ALPENA",327839.171970367
-83.0457538,42.331427,"DETROIT",581371.324462891
-82.9987942,39.9611755,"COLUMBUS OH",559490.091949463
-82.4156654,34.8172937,"GREENWOOD-GREENVILLE",383116.282440186
-82.4092526,36.4742739,"TRI-CITIES, TN-VA",558562.726226807
-82.210419,41.162089,"GRAND JUNCTION-MONTROSE",611639.68019104
-82.0131924,39.9403453,"ZANESVILLE",376313.564447284
-82.0105148,33.4734978,"AUGUSTA-AIKEN",686057.797119141
-81.734443,41.411151,"CLEVELAND-AKRON (CANTON)",632051.53012085
-81.7163623,38.3190769,"CHARLESTON-HUNTINGTON",675171.463867188
-81.655651,30.3321838,"JACKSONVILLE",712405.307617188
-81.5615135,39.2667418,"PARKERSBURG",457523.148383141
-81.0998342,32.0835407,"SAVANNAH",723002.579345703
-81.0348144,34.0007104,"COLUMBIA, SC",727603.554199219
-80.8431267,35.2270869,"CHARLOTTE",681778.5390625
-80.6495194,41.0997803,"YOUNGSTOWN",596568.047210693
-80.6035494,40.3174072,"WHEELING-STEUBENVILLE",432065.327905655
-80.1149411,42.1585823,"PRESQUE ISLE",218482.89836359
-80.085059,42.1292241,"ERIE",585189.923458099
-79.9958864,40.4406248,"PITTSBURGH",601870.539855957
-79.9310512,32.7764749,"CHARLESTON SC",769266.802246094
-79.891828,37.307331,"ROANOKE-LYNCHBURG",633299.923522949
-79.7926427,36.072591,"GREENSBORO-H.POINT-W.SALEM",691082.023620605
-78.9027922,33.7117979,"MYRTLE BEACH-FLORENCE",566318.753295898
-78.8783689,42.8864468,"BUFFALO",573469.560779572
-78.8689155,38.4495688,"HARRISONBURG",630975.238830566
-78.7879963,35.880079,"RALEIGH-DURHAM (FAYETVLLE)",657533.998535156
-78.6333863,40.5038915,"JOHNSTOWN-ALTOONA-ST COLGE",579866.653106689
-78.4766781,38.0293059,"CHARLOTTESVILLE",444202.061296463
-77.9447102,34.2257255,"WILMINGTON",682406.192138672
-77.6109219,43.16103,"ROCHESTER, NY",609564.965606689
-77.2543178,38.9941029,"GREAT FALLS",423410.358419418
-77.0669553,35.5517521,"GREENVILLE-N.BERN-WASHNGTN",636725.358154297
-77.0368707,38.9071923,"WASHINGTON DC (HAGRSTWN)",677502.159057617
-76.8077338,42.0897965,"ELMIRA (CORNING)",379265.016866684
-76.6121893,39.2903848,"BALTIMORE",660492.608795166
-76.3361812,36.855132,"NORFOLK-PORTSMTH-NEWPT NWS",650852.354370117
-76.1474244,43.0481221,"SYRACUSE",565595.869873047
-75.9179738,42.0986867,"BINGHAMTON",464130.008592367
-75.8689708,41.2414394,"WILKES BARRE-SCRANTON",582484.65296936
-75.5993692,38.3606736,"SALISBURY",658636.586303711
-75.1652215,39.9525839,"PHILADELPHIA",645011.504699707
-74.0059413,40.7127837,"NEW YORK",617603.437011719
-73.8982419,42.7741015,"ALBANY-SCHENECTADY-TROY",574562.434509277
-73.4923361,44.7039659,"BURLINGTON-PLATTSBURGH",520601.915756226
-73.2048378,42.7070453,"CLARKSBURG-WESTON",575772.103290558
-72.9092431,41.3450839,"HARTFORD & NEW HAVEN",584146.122314453
-72.645183,42.166837,"SPRINGFIELD-HOLYOKE",562446.281990051
-71.430168,41.756638,"PROVIDENCE-NEW BEDFORD",599722.568664551
-71.1828321,42.3709299,"WATERTOWN",533506.755508423
-71.0588801,42.3600825,"BOSTON (MANCHESTER)",628758.485717773
-70.2914424,43.7120637,"PORTLAND-AUBURN",533196.880645752
-68.7778138,44.8011821,"BANGOR",484272.152944326
